aod_055_mean,aod_055_median,aod_055_point,date,pixel_count
0.3787939371689305,0.383,,2021-02-23,76
0.37014896190284213,0.369,,2021-02-24,20
0.5342168224299065,0.515,,2021-02-24,3
0.25017848906927403,0.268,,2021-02-28,43
0.25857142857142856,0.259,,2021-02-28,7
0.17051538678712594,0.184,,2021-03-01,27
0.1911515277835674,0.193,,2021-03-01,92
0.1916602954166259,0.18669642857142862,,2021-03-03,161
0.32996849209458673,0.336,0.366,2021-03-04,309
0.3674683578981975,0.358,,2021-03-04,73
0.17686139773624618,0.1705,0.213,2021-03-05,297
0.14278305463599575,0.13933333333333334,0.275,2021-03-05,276
0.26785856419818843,0.268456289978678,0.331,2021-03-07,294
0.21655488753713392,0.2255,,2021-03-07,55
0.2540790204081631,0.23,0.367,2021-03-08,168
0.38033333333333336,0.395,,2021-03-09,3
0.25201318678302886,0.2474646616541354,,2021-03-10,285
0.3525744922847498,0.359,0.365,2021-03-11,309
0.3864648330058939,0.394,,2021-03-11,31
0.13465851162569312,0.124,,2021-03-12,166
0.3318146896896897,0.341,,2021-03-12,61
0.42320174165457186,0.395,,2021-03-14,3
0.6081681903737568,0.6205,,2021-03-15,59
0.7954896030245748,0.782,,2021-03-16,2
0.44721380445001574,0.422,,2021-03-17,51
0.31684940540343065,0.311,,2021-03-19,215
0.435,0.435,,2021-03-19,1
0.2746817938181168,0.279,,2021-03-23,22
0.22293973989289703,0.22100000000000003,,2021-03-26,199
0.3468149603811495,0.352,0.383,2021-03-27,309
0.23711328782909316,0.24,,2021-03-28,43
0.33894841826398614,0.329,,2021-03-28,25
0.3135,0.3135,,2021-03-29,2
0.552,0.621,,2021-04-01,3
0.3051812327506899,0.31,,2021-04-01,18
0.405626357711803,0.3919375,,2021-04-06,172
0.2300703259005146,0.23,,2021-04-06,30
0.2540784059380968,0.264,,2021-04-11,107
0.3686491646778043,0.326,,2021-04-11,2
0.4257176696866933,0.41100000000000003,,2021-04-12,78
0.41828205128205137,0.424,,2021-04-13,2
0.6507419782551047,0.656,,2021-04-15,14
0.3360813679245283,0.332,,2021-04-24,3
0.371,0.371,,2021-04-25,1
0.34256357388316155,0.332,,2021-04-26,1
0.17539736263736266,0.168,,2021-04-26,18
0.32646325125596976,0.343,,2021-04-29,63
0.37239330968068934,0.398,,2021-05-01,8
0.3620667891133745,0.369,,2021-05-01,24
0.20641246344556297,0.196,0.22,2021-05-02,153
0.2355834519126141,0.26,,2021-05-03,92
0.4296478532628917,0.42652157598499074,,2021-05-04,105
0.30895431317986355,0.30557303370786515,0.34600000000000003,2021-05-05,309
0.4082243211334121,0.421,,2021-05-05,6
0.246,0.246,,2021-05-10,1
0.2954044438896516,0.306,,2021-05-10,62
0.384,0.384,,2021-05-11,1
0.3881163522012579,0.386,,2021-05-11,2
0.4155454545454545,0.421,,2021-05-13,11
0.3918076923076923,0.399,,2021-05-13,26
0.377,0.377,,2021-05-16,1
0.34639999999999993,0.354,,2021-05-19,5
0.1694009154214679,0.162,0.211,2021-05-20,219
0.20576672940495153,0.19299999999999998,0.327,2021-05-20,135
0.3061125849558393,0.3095,0.455,2021-05-28,120
0.31857286879169755,0.342,,2021-05-29,26
0.33020612582781456,0.316,,2021-05-29,5
0.22301748468980206,0.231,,2021-05-30,45
0.2777459459459459,0.298,,2021-05-31,62
0.41114261744966446,0.41000000000000003,,2021-06-03,2
0.3752079694323145,0.361,,2021-06-04,8
0.12753214364397442,0.126,,2021-06-04,90
0.3938441532853906,0.396,,2021-06-09,39
0.2612191082802548,0.263,,2021-06-11,55
0.33643328491388264,0.327,,2021-06-13,18
