system:index,aod_055_mean,aod_055_median,aod_055_point,date,pixel_count,.geo
MCD19A2_A2021054_h28v07_061_2023145172655_01,0.3787939371689305,0.383,,2021-02-23,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021055_h28v07_061_2023145174142_01,0.37014896190284213,0.369,,2021-02-24,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021055_h28v07_061_2023145174142_02,0.5342168224299065,0.515,,2021-02-24,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021059_h28v07_061_2023145182724_01,0.25017848906927403,0.268,,2021-02-28,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021059_h28v07_061_2023145182724_03,0.25857142857142856,0.259,,2021-02-28,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021060_h28v07_061_2023145183903_02,0.17051538678712594,0.184,,2021-03-01,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021060_h28v07_061_2023145183903_04,0.1911515277835674,0.193,,2021-03-01,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021062_h28v07_061_2023145190240_01,0.1916602954166259,0.18669642857142862,,2021-03-03,161,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021063_h28v07_061_2023145191419_01,0.32996849209458673,0.336,0.366,2021-03-04,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021063_h28v07_061_2023145191419_03,0.3674683578981975,0.358,,2021-03-04,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021064_h28v07_061_2023145192628_01,0.17686139773624618,0.1705,0.213,2021-03-05,297,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021064_h28v07_061_2023145192628_02,0.14278305463599575,0.13933333333333334,0.275,2021-03-05,276,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021066_h28v07_061_2023145194825_01,0.26785856419818843,0.268456289978678,0.331,2021-03-07,294,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021066_h28v07_061_2023145194825_02,0.21655488753713392,0.2255,,2021-03-07,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021067_h28v07_061_2023145195904_02,0.2540790204081631,0.23,0.367,2021-03-08,168,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021068_h28v07_061_2023145201151_02,0.38033333333333336,0.395,,2021-03-09,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
